company,year,production_t,emissions_tco2,scenario
Anhui Xinda Steel Development Co Ltd [100.0%],2024,317677.8372991155,127071.1349196462,historical
Anhui Xinda Steel Development Co Ltd [100.0%],2025,0.0,0.0,historical
Anhui Xinda Steel Development Co Ltd [100.0%],2026,0.0,0.0,historical
Anhui Xinda Steel Development Co Ltd [100.0%],2027,0.0,0.0,historical
Anhui Xinda Steel Development Co Ltd [100.0%],2028,0.0,0.0,historical
Anhui Xinda Steel Development Co Ltd [100.0%],2029,0.0,0.0,historical
Anhui Xinda Steel Development Co Ltd [100.0%],2030,0.0,0.0,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2020,1150649.904112508,2416364.798636267,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2021,1129090.2115064887,2371089.4441636265,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2022,1116405.8853872418,2344452.359313208,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2023,1131273.9874054478,2375675.3735514404,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2024,1143640.2142768158,2401644.449981313,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2025,0.0,0.0,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2026,0.0,0.0,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2027,0.0,0.0,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2028,0.0,0.0,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2029,0.0,0.0,historical
Anshan Baode Iron & Steel Co Ltd [100.0%],2030,0.0,0.0,historical
Ansteel Group Co Ltd [100.0%],2020,6692307.692307693,13326827.18943107,historical
Ansteel Group Co Ltd [100.0%],2021,6566914.124589684,13077122.829668155,historical
Ansteel Group Co Ltd [100.0%],2022,6493140.674510574,12930212.964555033,historical
Ansteel Group Co Ltd [100.0%],2023,6579615.207859796,13102415.322129896,historical
Ansteel Group Co Ltd [100.0%],2024,6651538.55736888,13245640.96175408,historical
Ansteel Group Co Ltd [100.0%],2025,0.0,0.0,historical
Ansteel Group Co Ltd [100.0%],2026,0.0,0.0,historical
Ansteel Group Co Ltd [100.0%],2027,0.0,0.0,historical
Ansteel Group Co Ltd [100.0%],2028,0.0,0.0,historical
Ansteel Group Co Ltd [100.0%],2029,0.0,0.0,historical
Ansteel Group Co Ltd [100.0%],2030,0.0,0.0,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2020,3324099.72299169,6980609.41828255,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2021,3261816.166574301,6849813.949806033,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2022,3225172.557785365,6772862.371349267,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2023,3268124.852504627,6863062.1902597165,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2024,3303849.507910801,6938083.966612683,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2025,0.0,0.0,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2026,0.0,0.0,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2027,0.0,0.0,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2028,0.0,0.0,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2029,0.0,0.0,historical
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],2030,0.0,0.0,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2020,1214574.8987854251,485829.95951417007,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2021,1191817.4454790715,476726.9781916286,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2022,1178428.4345754217,471371.37383016874,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2023,1194122.542261306,477649.01690452243,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2024,1207175.7817366389,482870.31269465556,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2025,0.0,0.0,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2026,0.0,0.0,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2027,0.0,0.0,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2028,0.0,0.0,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2029,0.0,0.0,historical
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],2030,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [100.0%],2020,11410611.549115704,23962284.253142983,historical
Anyang Iron & Steel Co Ltd [100.0%],2021,11196811.264106015,23513303.654622633,historical
Anyang Iron & Steel Co Ltd [100.0%],2022,11071025.030090148,23249152.56318931,historical
Anyang Iron & Steel Co Ltd [100.0%],2023,11218467.041770691,23558780.787718453,historical
Anyang Iron & Steel Co Ltd [100.0%],2024,11341098.791578423,23816307.462314688,historical
Anyang Iron & Steel Co Ltd [100.0%],2025,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [100.0%],2026,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [100.0%],2027,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [100.0%],2028,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [100.0%],2029,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [100.0%],2030,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2020,1118687.4067760494,2349243.5542297037,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2021,1097726.5945201975,2305225.8484924147,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2022,1085394.6107931517,2279328.6826656186,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2023,1099849.7099775185,2309684.390952789,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2024,1111872.4305469042,2334932.1041484987,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2025,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2026,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2027,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2028,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2029,0.0,0.0,historical
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],2030,0.0,0.0,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2020,503728.9580225869,201491.58320903475,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2021,494290.60370395175,197716.2414815807,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2022,488737.68760285917,195495.0750411437,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2023,495246.6122641627,198098.64490566507,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2024,500660.271583406,200264.10863336243,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2025,0.0,0.0,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2026,0.0,0.0,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2027,0.0,0.0,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2028,0.0,0.0,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2029,0.0,0.0,historical
Baicheng Fuda Bar Rolling Co Ltd [100.0%],2030,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [100.0%],2020,30692946.942254424,64455188.57873429,historical
Baoshan Iron & Steel Co Ltd [100.0%],2021,30117854.119595863,63247493.651151314,historical
Baoshan Iron & Steel Co Ltd [100.0%],2022,29779506.767212793,62536964.21114686,historical
Baoshan Iron & Steel Co Ltd [100.0%],2023,30176105.12849176,63369820.7698327,historical
Baoshan Iron & Steel Co Ltd [100.0%],2024,30505967.360159464,64062531.456334874,historical
Baoshan Iron & Steel Co Ltd [100.0%],2025,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [100.0%],2026,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [100.0%],2027,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [100.0%],2028,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [100.0%],2029,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [100.0%],2030,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2020,4858299.5951417005,10202429.149797572,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2021,4767269.781916286,10011266.5420242,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2022,4713713.738301687,9898798.850433543,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2023,4776490.169045224,10030629.354994971,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2024,4828703.126946555,10140276.566587767,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2025,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2026,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2027,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2028,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2029,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],2030,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2020,8008523.332623056,16817898.99850842,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2021,7858467.872085162,16502782.531378841,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2022,7770184.962295203,16317388.420819925,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2023,7873666.952341916,16534700.599918025,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2024,7959735.891366637,16715445.371869938,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2025,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2026,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2027,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2028,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2029,0.0,0.0,historical
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],2030,0.0,0.0,historical
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],2020,13136586.405284468,27586831.451097384,historical
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],2021,12890446.581365746,27069937.82086807,historical
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],2022,12745633.85817101,26765831.102159128,historical
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],2023,12915378.022878863,27122293.848045617,historical
